Date,Client,Lab,Con,Lib Dem,Other,Lab lead
Dec 29-30,Daily Telegraph,30,40,17,12,-10
Dec 15-17,Sunday People,28,40,18,14,-12
Dec 10-11,Sunday Times,31,40,16,13,-9
Dec 3-4,Sunday Times,27,40,18,15,-13
Nov 24 - 26,Daily Telegraph,29,39,19,13,-10
Nov 12 -13,Sunday Times,27,41,18,14,-14
Oct 27 - 29,Daily Telegraph,28,41,16,15,-13
Oct 15-16,Sunday Times,30,41,17,12,-11
Oct 8-9,The Sun,28,42,18,12,-14
Sept 22-24,Daily Telegraph,26,39,20,15,-13
Sept 10-11,Sunday Times,27,41,17,15,-14
Sept 4-6,Daily Telegraph,27,40,18,15,-13
Aug 27-28,The Sun,28,42,17,14,-14
Aug 25-27,Daily Telegraph,26,42,18,14,-16
Aug 13-14,Sunday Times,28,42,18,13,-14
July 28-30,Daily Telegraph,27,41,18,15,-14
July 21-23,The People,25,40,20,16,-15
July 16-17,Sunday Times,25,42,18,15,-17
June 24-26,The People,24,40,17,19,-16
June 23-25,Daily Telegraph,25,38,18,19,-13
June 11-12,Sunday Times,24,40,18,19,-16
June 2-3,Daily Telegraph,21,37,19,23,-16
May 27-29,Daily Telegraph,22,39,18,21,-17
May 14-16,Daily Telegraph,23,39,19,19,-16
May 13-14,The Sun,22,41,19,18,-19
May 7-8,Sunday Times,27,43,18,12,-16
April 22-23,Daily Telegraph,27,45,18,10,-18
April 3-4,Sunday Times,34,41,16,10,-7
March 24-26,Daily Telegraph,31,41,17,11,-10
March 12-13,Sunday Times,31,41,17,11,-10
February 24-26,Daily Telegraph,31,41,15,12,-10
February 12-13,Sunday Times,32,44,14,10,-12
January 27-29,Daily Telegraph,32,43,16,10,-11
January 15-16,Sunday Times,32,45,14,9,-13
January 7-8,The Sun,34,41,15,10,-7
