Date,Client,Lab,Con,Lib Dem,Other,Lab lead
December 20-22,Sunday Times,32,37,15,15,-5
December 18-20,Daily Telegraph,33,37,17,13,-4
November 28-30,Daily Telegraph,32,37,16,15,-5
October 24-26,Daily Telegraph,32,39,16,13,-7
September27-29,Daily Telegraph,36,36,16,12,0
September 21-22,Sunday Times,33,37,18,12,-4
September 19-22,Daily Telegraph,31,38,18,13,-7
September 13-14,The Sun,31,38,18,14,-7
September 6-7,Daily Telegraph,32,40,17,11,-8
August 22-24,Daily Telegraph,31,38,18,13,-7
July 24-26,Daily Telegraph,33,38,18,11,-5
June 26-28,Daily Telegraph,33,39,18,10,-6
June 21-23,Daily Telegraph,32,39,17,12,-7
May 23-25,Daily Telegraph,32,38,16,14,-6
May 8-9,Daily Telegraph,31,37,15,15,-6
April 27-28,Sunday Times,32,35,18,15,-3
April 18-20,Daily Telegraph,35,33,17,15,2
March 28-29,Daily Telegraph,36,36,18,10,0
March 16-17,Sunday Times,35,38,19,8,-3
February 21-22,Daily Telegraph,36,38,18,9,-2
February 9-10,Sunday Times,39,37,15,10,2
January 24-26,Daily Telegraph,40,39,13,9,1
