Date,Client,Lab,Con,Lib Dem,Other,Lab lead
December 20-27,Sunday Times,35,40,15,10,-5
December 17-19,Daily Telegraph,31,43,16,11,-12
December 13-14,Sunday Times,32,45,14,10,-13
November 26-29,Daily Telegraph,32,43,14,11,-11
November 21-22,Channel 4 News,32,41,14,13,-9
November 14-16,Sunday Times,35,41,13,11,-6
October 6-7,Sunday Times,38,41,11,10,-3
October 3-4,Channel 4 News,40,36,13,11,4
September 26-28,Daily Telegraph,43,32,15,10,11
September 24-25,Channel 4 News,44,33,13,10,11
September 19-21,Daily Telegraph,39,33,16,12,6
September 13-14,Sunday Times,39,34,15,12,5
August 29-31,GMTV,38,35,15,12,3
August 24-28,Daily Telegraph,41,33,14,12,8
August 9-10,Sunday Times,42,32,14,12,10
July 23-25,Daily Telegraph,41,32,16,11,9
July 19-20,Sunday Times,40,33,15,12,7
June 28-29,Daily Telegraph,38,35,15,12,3
June 14-15,Sunday Times,35,37,14,14,-2
May 21-23,Daily Telegraph,33,39,15,13,-6
March 10-11,Sunday Times,34,38,15,14,-4
April 24-26,Daily Telegraph,32,37,18,14,-5
April 4-5,Sunday Times,31,39,16,14,-8
March 26-28,Daily Telegraph,32,39,17,13,-7
March 21-22,Daily Telegraph,31,39,16,14,-8
March 15-16,Sunday Times,32,38,16,14,-6
February 19-21,Daily Telegraph,32,37,17,14,-5
February 8-9,Sunday Times,32,37,18,14,-5
January 22-24,Daily Telegraph,31,38,18,13,-7
