,Labour,% point proximity to final result,Conservative,% point proximity to final result,Lib Dems (Liberal/SDP in '87),% point proximity to final result,average accuracy,Other,Poll Date,"research: James Key, David McCandless, Cal Flyn http://www.informationisbeautiful.net"
Actual Share of Seats,63.43%,,25.04%,,6.98%,,,4.55%,01/05/1997,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1997"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1992 Election,,,,,,,,,,
,,,,,,,,,,
1 Year,43,,39,,13,,,5,5-6 April 1991,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
6 Months,43,,41,,12,,,,11-12 Oct 1992,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
3 Months,41,,42,,12,,,4,10-11 Jan 1992,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
1 Month,42,,39,,15,,,4,6-7 March 1992,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
1 Week,41,,37,,18,,,4,31/03/1992,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
1 Day,38,,38,,20,,,4,08/04/1992,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
,,,,,,,,,,
AVERAGE,41.33,,39.33,,15,,,,,
,,,,,,,,,,
Actual Share of Vote,35,,43,,13,,,4,09/04/1992,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
Actual Number of Seats,336,,271,,20,,,24,09/04/1992,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1992"
Actual Share of Seats,51.61%,,41.63%,,3.07%,,,3.69%,09/04/1992,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1992"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1987 Election,,,,,,,,,,
,,,,,,,,,,
1 Year,39,,33,,26,,,2,June 1986,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
6 Months,38,,39,,21,,,2,December 1986,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
3 Months,32,,38,,27,,,3,March 1987,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
1 Month,29,,43,,25,,,3,8-12 May 1987,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
1 Week,34,,44,,20,,,2,04/06/1987,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
1 Day,32,,43,,23,,,2,10/06/1987,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
,,,,,,,,,,
AVERAGE,34,,40,,23.67,,,,,
,,,,,,,,,,
Actual Share of Vote,32,,43,,23,,,2,11/06/1987,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
Actual Number of Seats,376,,229,,22,,,23,11/06/1987,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1987"
Actual Share of Seats,57.85%,,35.23%,,3.38%,,,3.54%,11/06/1987,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1987"
