date,CON,LAB,LIB DEM,OTHER
1995-08-07,0.32,0.47,0.17,0.03
1995-05-08,0.31,0.48,0.17,0.05
1995-09-09,0.31,0.48,0.17,0.04
1995-07-10,0.29,0.49,0.17,0.05
1995-05-11,0.3,0.47,0.19,0.04
1995-09-12,0.31,0.48,0.16,0.04
1996-07-01,0.26,0.48,0.22,0.04
1996-04-02,0.31,0.47,0.19,0.04
1996-04-03,0.31,0.45,0.2,0.04
1996-04-13,0.29,0.5,0.17,0.04
1996-05-05,0.28,0.45,0.21,0.05
1996-02-06,0.3,0.46,0.19,0.05
1996-06-07,0.3,0.45,0.21,0.04
1996-03-08,0.33,0.45,0.19,0.03
1996-07-09,0.32,0.47,0.16,0.05
1996-05-10,0.31,0.49,0.16,0.03
1996-02-11,0.34,0.47,0.15,0.04
1996-01-12,0.31,0.5,0.15,0.04
1997-05-01,0.31,0.48,0.16,0.04
1997-02-02,0.32,0.48,0.15,0.04
1997-02-03,0.3,0.48,0.16,0.06
1997-03-31,0.32,0.46,0.17,0.05
1997-07-04,0.34,0.46,0.15,0.05
1997-04-14,0.31,0.45,0.19,0.05
1997-04-21,0.37,0.42,0.14,0.06
1997-04-30,0.33,0.43,0.18,0.06
1997-01-05,0.314,0.444,0.172,0.07
1997-08-06,0.23,0.62,0.14,0.02
1997-06-28,0.23,0.61,0.12,0.04
1997-09-08,0.29,0.55,0.12,0.04
1997-09-09,0.24,0.6,0.1,0.06
1997-06-10,0.23,0.59,0.13,0.04
1997-08-11,0.3,0.52,0.14,0.04
1997-06-12,0.29,0.5,0.17,0.04
1998-11-01,0.3,0.48,0.17,0.05
1998-08-02,0.31,0.47,0.18,0.04
1998-08-03,0.33,0.46,0.17,0.05
1998-05-04,0.31,0.48,0.16,0.06
1998-05-19,0.29,0.5,0.16,0.05
1998-06-06,0.29,0.51,0.16,0.04
1998-04-07,0.27,0.52,0.17,0.04
1998-09-08,0.31,0.47,0.17,0.04
1998-06-09,0.29,0.48,0.17,0.06
1998-04-10,0.29,0.51,0.15,0.05
1998-06-11,0.27,0.51,0.17,0.05
1998-07-12,0.29,0.49,0.16,0.06
1999-03-01,0.3,0.5,0.15,0.05
1999-07-02,0.28,0.49,0.16,0.06
1999-07-03,0.29,0.52,0.16,0.04
1999-04-17,0.28,0.5,0.17,0.05
1999-08-05,0.28,0.51,0.16,0.06
1999-05-06,0.29,0.46,0.19,0.07
1999-11-07,0.31,0.48,0.16,0.05
1999-08-15,0.3,0.48,0.16,0.06
1999-09-18,0.32,0.45,0.16,0.08
1999-10-23,0.32,0.45,0.17,0.06
1999-11-14,0.34,0.44,0.15,0.07
1999-12-12,0.29,0.48,0.17,0.06
2000-01-17,0.3,0.47,0.17,0.06
2000-02-13,0.29,0.44,0.18,0.09
2000-03-19,0.32,0.44,0.16,0.08
2000-04-15,0.32,0.45,0.15,0.08
2000-05-15,0.34,0.41,0.18,0.07
2000-06-26,0.32,0.43,0.17,0.08
2000-07-15,0.35,0.42,0.17,0.06
2000-08-13,0.34,0.44,0.17,0.05
2000-09-17,0.38,0.34,0.22,0.07
2000-10-16,0.35,0.4,0.19,0.06
2000-05-11,0.34,0.4,0.2,0.07
2000-03-12,0.34,0.44,0.16,0.06
2001-01-21,0.34,0.44,0.16,0.06
2001-02-18,0.32,0.47,0.15,0.07
2001-03-19,0.35,0.44,0.16,0.06
2001-03-30,0.34,0.49,0.13,0.05
2001-04-22,0.33,0.47,0.14,0.06
2001-11-05,0.32,0.48,0.15,0.05
2001-05-13,0.32,0.48,0.14,0.06
2001-05-14,0.31,0.46,0.16,0.07
2001-05-21,0.32,0.45,0.17,0.07
2001-05-28,0.28,0.47,0.17,0.08
2001-01-06,0.34,0.46,0.15,0.05
2001-03-06,0.3,0.47,0.18,0.05
2001-04-06,0.32,0.43,0.19,0.06
2001-07-06,0.327,0.42,0.188,0.065
2001-07-15,0.3,0.46,0.18,0.06
2001-08-19,0.3,0.46,0.17,0.07
2001-09-16,0.29,0.46,0.2,0.05
